iter	Passed	Remaining
0	0	77
1	1	71
2	2	68
3	2	61
4	3	58
5	3	57
6	4	55
7	4	54
8	5	54
9	5	53
10	6	52
11	7	51
12	7	51
13	8	50
14	9	51
15	9	50
16	10	50
17	11	50
18	11	50
19	12	50
20	13	50
21	14	49
22	14	49
23	15	49
24	16	50
25	17	50
26	18	50
27	19	49
28	20	49
29	20	48
30	21	48
31	22	47
32	23	47
33	24	47
34	25	46
35	25	46
36	26	45
37	27	45
38	28	44
39	29	44
40	30	43
41	30	42
42	31	41
43	32	41
44	33	40
45	33	39
46	34	38
47	35	37
48	35	37
49	36	36
50	36	35
51	37	34
52	38	34
53	39	33
54	39	32
55	40	32
56	41	31
57	42	30
58	43	30
59	44	29
60	44	28
61	45	27
62	46	27
63	47	26
64	47	25
65	48	25
66	49	24
67	50	23
68	50	22
69	51	22
70	51	21
71	52	20
72	53	19
73	54	19
74	54	18
75	55	17
76	56	16
77	56	16
78	57	15
79	58	14
80	58	13
81	59	13
82	60	12
83	60	11
84	61	10
85	61	10
86	62	9
87	63	8
88	64	7
89	64	7
90	65	6
91	66	5
92	66	5
93	67	4
94	68	3
95	69	2
96	69	2
97	70	1
98	70	0
99	71	0
